Triangle 10x10
10
10	10
-2	0	1	5	3	-1	3	-1	0	0
-2	-1	-1	5	2	2	3	-1	1	-1
-2	-2	2	3	3	5	-1	-1	-1	1
-2	-2	4	-1	4	5	-1	-1	-1	-2
-2	-2	-2	3	-1	4	3	3	5	-2
-2	-2	-2	3	3	4	3	3	-2	-2
-2	-2	-2	-2	-1	4	5	3	-2	-2
-2	-2	-2	-2	3	-1	4	-2	-2	-2
-2	-2	-2	-2	-2	-1	4	-2	-2	-2
-2	-2	-2	-2	-2	5	-2	-2	-2	-2
E	5	4
N	5	4
E	4	4
W	4	3
N	4	3
W	4	2
N	4	2
E	4	2
N	5	2
W	5	1
E	4	1
N	4	1
E	3	1
W	3	0
N	3	0
E	3	0
N	4	0
E	4	0
N	5	0
E	5	0
W	6	0
E	6	1
N	7	1
E	7	1
W	8	1
E	8	2
N	9	2
E	9	2
W	10	2
N	10	3
E	9	3
N	9	3
E	8	3
N	8	3
W	8	3
N	8	4
E	7	4
W	7	3
N	7	3
W	7	2
E	6	2
N	6	2
W	6	2
N	6	3
W	6	3
E	6	4
W	7	4
E	7	5
N	8	5
E	8	5
N	9	5
E	9	5
N	10	5
W	10	4
N	10	4
E	10	4
W	11	4
N	11	5
W	11	5
N	11	6
W	11	6
N	11	7
W	11	7
N	11	8
E	10	8
N	10	8
W	10	8
E	10	9
W	11	9
N	11	10
E	10	10
W	10	9
E	9	9
W	9	8
N	9	8
W	9	7
N	9	7
E	9	7
N	10	7
W	10	6
E	9	6
N	9	6
E	8	6
N	8	6
W	8	6
N	8	7
E	7	7
W	7	6
N	7	6
W	7	5
E	6	5
W	6	4
